RecordKey;LineNum;ItemCode;Quantity;ShipDate;U_STPREPA;U_u_prix_vte;BackOrder;U_NUMCAT;ShipToCode
RecordKey;LineNum;ItemCode;Quantity;ShipDate;U_STPREPA;U_u_prix_vte;BackOrder;U_NUMCAT;ShipToCode
1;0;110101;6525;20190101;1;le cent;tNO;168845;MBF ACCES NORD
1;1;110102;3000;20190101;1;le cent;tYES;163876;MBF ACCES NORD
1;2;110103;250;20190101;1;le cent;tYES;163732;MBF ACCES NORD
1;3;116201.120;150;20190101;1;le cent;tNO;;MBF ACCES NORD
